name_list_longbeards = { # Originally dynasty names were old
	cadet_dynasty_names = {
		"dynn_Agla_a_bkhuzd"
		"dynn_Barkkhuzd"
		"dynn_Aglabme_e_kun"
		"dynn_Barazturg"
		"dynn_Naragturg"
		"dynn_Nargkhu_u_zd"
		"dynn_Khuzdun"
		"dynn_Barazbund"
		"dynn_Naragbund"
		"dynn_Bundun"
		"dynn_Felak_turg"
		"dynn_Khuzdun_felak"
		"dynn_Felakgundun"
		"dynn_Gatholfelak"
		"dynn_Gathaturg"
		"dynn_Turg_gatha"
		"dynn_Turgbaraz"
		"dynn_Turgnarag"
		"dynn_Turg_khaza_a_d"
		"dynn_Kibilnara_a_g"
		"dynn_Kibilkhuzd"
		"dynn_Kibilturg"
		"dynn_Turgkhibil"
		"dynn_Khuzdkhibil"
		"dynn_Inbarturg"
		"dynn_Turginbar"
		"dynn_Naraginbarun"
		"dynn_Gundu_turg"
		"dynn_Gundu_khuzd"
		"dynn_Gamil_khuzd"
		"dynn_Gamil_turg"
		"dynn_Zirakturg"
		"dynn_Rakha_a_ssulu_u_n"
		"dynn_Rakha_a_ssalo_o_n"
		"dynn_Ru_u_khssulu_u_n"
		"dynn_Ru_u_khssalo_o_n"
		"dynn_Izbadturg"
		"dynn_Turgizbad"
		"dynn_Khuzdizbad"
		"dynn_Izbadkhuzd"
		"dynn_Tharkun_khuzdul"
		"dynn_a_a_l_Khuzd"
		"dynn_a_a_l_Narg"
		"dynn_a_a_l_Turg"
		"dynn_a_a_l_Felak"
		"dynn_Shathu_u_rturg"
		"dynn_Turgshathu_u_r"
		"dynn_Siginshathu_u_r_khaza_a_d"
		"dynn_Khaza_a_d_gundun"
		"dynn_Khaza_a_d_abadun"
		"dynn_Mahalukhaza_a_d"
		"dynn_Mahalutara_a_g"
		"dynn_Khaza_a_d_tu_u_mun"
		"dynn_Khaza_a_dutu_u_m"
		"dynn_Khaza_a_dubadun"
		"dynn_Khaza_a_dugundun"
		"dynn_Uruktharbunu"
		"dynn_Baraztu_u_mu"
		"dynn_Mazarbundun"
		"dynn_Khaza_a_du_felek"
		"dynn_Khaza_a_du_tara_a_g"
		"dynn_Khaza_a_du_mahal"
		"dynn_Khaza_a_du_thark"
		"dynn_Khaza_a_du_thara_a_k"
		"dynn_Uzbadun"
		"dynn_Uzbadul"
		"dynn_Uznabanul"
		"dynn_Turguzn"
		"dynn_Uzn_turg"
		"dynn_Khibilzaramul"
		"dynn_Zurbkhuzd"
		"dynn_Khaza_a_d_zurbun"
		"dynn_Khaza_a_d_zara_a_b"
		"dynn_Na_a_lakhibilul"
		"dynn_Na_a_lazaramul"
		"dynn_Nara_a_gnalul"
		"dynn_Khaza_a_dnalul"
		"dynn_Aza_a_lk_khaza_a_d"
		"dynn_Aza_a_dtara_a_g"
		"dynn_Aza_a_nul"
		"dynn_Dahr_abadul"
		"dynn_Duhl_khaza_a_d"
		"dynn_Do_o_hk_tara_a_g"
		"dynn_Do_o_mulu"
		"dynn_Du_u_m_khaza_a_d"
		"dynn_Da_a_m_tara_a_g"
		"dynn_Ga_a_hl_abadul"
		"dynn_Gu_u_hl_khaza_a_d"
		"dynn_Go_o_hl_tara_a_g"
		"dynn_Kho_o_mulu"
		"dynn_Kha_a_m_khaza_a_d"
		"dynn_Khe_e_m_tara_a_g"
		"dynn_Lara_a_b_bizarul"
		"dynn_La_a_rb_zaharul"
		"dynn_Ra_a_b_nargu_u_l"
		"dynn_Mara_a_b_khibilu"
		"dynn_Ma_a_rbukhaza_a_d"
		"dynn_Ra_a_butara_a_gul"
		"dynn_Ni_i_mnala_a__ukhuzd"
		"dynn_Ni_i_mzaramukhuzd"
		"dynn_Ni_i_mabanutara_a_gul"
		"dynn_Shara_a_lunul"
		"dynn_Shu_u_ln_tara_a_gul"
		"dynn_Sho_o_ld_bara_a_zul"
		"dynn_Uri_i_nkheledul"
		"dynn_Uri_i_dnara_a_gul"
		"dynn_Uri_i_khaza_a_d"
		"dynn_Proudarm"
		"dynn_Glinthall"
		"dynn_Sparkbeard"
		"dynn_Silverlock"
		"dynn_Stronghair"
		"dynn_Vainhair"
		"dynn_Goldlock"
		"dynn_Tinbeard"
		"dynn_Brownbeard"
		"dynn_Blackbeard"
		"dynn_Toughfoot"
		"dynn_Burnthair"
		"dynn_Dourhand"
		"dynn_Forkbeard"
		"dynn_Curllock"
		"dynn_Grandbeard"
		"dynn_Greatbeard"
		"dynn_Gildbeard"
		"dynn_Firehall"
		"dynn_Dinhall"
		"dynn_Roughfoot"
